idx,direction,entry_bar,entry_time,entry_price,sl,tp,entry_atr,entry_spread_points,lots,exit_bar,exit_time,exit_price,exit_reason,bars_held,ambiguous,trailed,points,pnl_atr,pnl_money,swap,commission,nights,net_money,note
66,long,7668,2025-06-18 06:00:00,1.34361,1.33924,1.35017,0.0021864285714285575,5.0,0.01,7691,2025-06-19 05:00:00,1.33924,SL,23,False,False,-0.004369999999999985,-1.9986932375040896,-4.369999999999985,-0.0255,0.0793,1,-4.474799999999985,
67,long,7735,2025-06-23 01:00:00,1.34006,1.33586,1.34636,0.002099285714285732,5.0,0.01,7751,2025-06-23 17:00:00,1.34636,TP,16,False,False,0.006299999999999972,3.0010207553589274,6.299999999999973,-0.0,0.0793,0,6.220699999999973,
68,long,7915,2025-07-02 13:00:00,1.36912,1.36666,1.37281,0.001229285714285663,5.0,0.01,7916,2025-07-02 14:00:00,1.36666,SL,1,False,False,-0.0024599999999999067,-2.0011621150493974,-2.4599999999999067,-0.0,0.0793,0,-2.5392999999999066,
69,long,7985,2025-07-07 11:00:00,1.36046,1.35778,1.36449,0.0013421428571428631,5.0,0.01,7986,2025-07-07 12:00:00,1.35778,SL,1,False,False,-0.0026800000000000157,-1.9968068121341167,-2.680000000000016,-0.0,0.0793,0,-2.759300000000016,
70,long,8015,2025-07-08 17:00:00,1.35524,1.35161,1.36069,0.0018150000000000585,5.0,0.01,8034,2025-07-09 12:00:00,1.36069,TP,19,False,False,0.005449999999999955,3.0027548209365174,5.449999999999955,-0.0765,0.0793,3,5.294199999999955,boundary
71,long,8085,2025-07-11 15:00:00,1.35034,1.34639,1.35627,0.0019750000000000123,5.0,0.01,8103,2025-07-14 09:00:00,1.34639,SL,18,False,False,-0.00395000000000012,-2.0000000000000484,-3.95000000000012,-0.0765,0.0793,3,-4.10580000000012,boundary
72,long,8104,2025-07-14 10:00:00,1.34571,1.3431,1.34963,0.0013064285714285973,5.0,0.01,8112,2025-07-14 18:00:00,1.3431,SL,8,False,False,-0.002610000000000001,-1.9978130125751392,-2.610000000000001,-0.0,0.0793,0,-2.689300000000001,
73,long,8116,2025-07-14 22:00:00,1.34292,1.33913,1.34861,0.0018971428571428195,5.0,0.01,8135,2025-07-15 17:00:00,1.33913,SL,19,False,False,-0.00378999999999996,-1.9977409638554402,-3.78999999999996,-0.0255,0.0793,1,-3.89479999999996,
74,long,8138,2025-07-15 20:00:00,1.33873,1.33499,1.34435,0.001872142857142846,5.0,0.01,8160,2025-07-16 18:00:00,1.34435,TP,22,False,False,0.005619999999999958,3.0019076688286868,5.619999999999958,-0.0765,0.0793,3,5.464199999999958,
75,long,8321,2025-07-25 11:00:00,1.3469,1.34418,1.35098,0.001359285714285674,5.0,0.01,8324,2025-07-25 14:00:00,1.34418,SL,3,False,False,-0.0027200000000000557,-2.001050972149338,-2.7200000000000557,-0.0,0.0793,0,-2.7993000000000556,
76,long,8345,2025-07-28 11:00:00,1.34096,1.33791,1.34553,0.0015228571428571275,5.0,0.01,8353,2025-07-28 19:00:00,1.33791,SL,8,False,False,-0.003049999999999997,-2.002814258911838,-3.049999999999997,-0.0,0.0793,0,-3.129299999999997,
77,long,8357,2025-07-28 23:00:00,1.33546,1.33163,1.34121,0.0019157142857142587,5.0,0.01,8368,2025-07-29 10:00:00,1.33163,SL,11,False,False,-0.00383,-1.9992542878449202,-3.83,-0.0255,0.0793,1,-3.9348,
78,long,8404,2025-07-30 22:00:00,1.32388,1.31878,1.33153,0.002548571428571424,5.0,0.01,8422,2025-07-31 16:00:00,1.31878,SL,18,False,False,-0.005099999999999882,-2.0011210762331415,-5.099999999999882,-0.0255,0.0793,1,-5.204799999999882,
