idx,direction,entry_bar,entry_time,entry_price,sl,tp,entry_atr,entry_spread_points,lots,exit_bar,exit_time,exit_price,exit_reason,bars_held,ambiguous,trailed,points,pnl_atr,pnl_money,swap,commission,nights,net_money,note
50,short,29674,2026-06-23 19:33:00,4140.16,4133.15,0.0,1.5885768529727693,15.0,0.01,29700,2026-06-23 19:59:00,4133.15,SL,26,False,True,7.010000000000218,4.412754716199041,7.010000000000218,0.0,0.0793,0,6.930700000000218,
51,short,29744,2026-06-23 20:43:00,4130.57,4127.52,0.0,1.547755883825125,15.0,0.01,29766,2026-06-23 21:05:00,4127.52,SL,22,False,True,3.0499999999992724,1.970594996196364,3.0499999999992724,0.0,0.0793,0,2.9706999999992725,
52,short,29854,2026-06-23 22:33:00,4122.95,4118.86,0.0,1.5970512776093408,15.0,0.01,29870,2026-06-23 22:49:00,4118.86,SL,16,False,True,4.0900000000001455,2.560969743014483,4.0900000000001455,0.0,0.0793,0,4.010700000000146,
53,short,29910,2026-06-23 23:29:00,4110.37,4114.13,0.0,1.253536298213377,23.0,0.01,29942,2026-06-24 01:01:00,4114.13,SL,32,False,False,-3.7600000000002183,-2.9995142584695946,-3.7600000000002183,0.702,0.0793,3,-3.1373000000002182,
54,short,31315,2026-06-24 23:54:00,3999.15,4004.14,0.0,1.6642522178269494,65.0,0.01,31321,2026-06-25 01:00:00,4004.14,SL,6,False,False,-4.989999999999782,-2.9983436083476183,-4.989999999999782,0.23399999999999999,0.0793,1,-4.835299999999782,
55,short,32663,2026-06-25 23:22:00,4030.11,4027.18,0.0,1.612045915578072,23.0,0.01,32677,2026-06-25 23:36:00,4027.18,SL,14,False,True,2.930000000000291,1.8175660951627466,2.930000000000291,0.0,0.0793,0,2.850700000000291,
56,short,32698,2026-06-25 23:57:00,4025.98,4028.93,0.0,0.9821472129898328,58.0,0.01,32701,2026-06-26 01:00:00,4028.93,SL,3,False,False,-2.949999999999818,-3.0036230424352452,-2.949999999999818,0.23399999999999999,0.0793,1,-2.795299999999818,
57,long,33855,2026-06-26 20:14:00,4082.65,4077.75,0.0,1.6346997626038366,15.0,0.01,33872,2026-06-26 20:31:00,4077.75,SL,17,False,False,-4.900000000000091,-2.9974923298423377,-4.900000000000091,-0.0,0.0793,0,-4.979300000000091,
58,long,33890,2026-06-26 20:49:00,4074.91,4070.05,0.0,1.6213434791199557,15.0,0.01,33947,2026-06-26 21:46:00,4070.05,SL,57,False,False,-4.859999999999673,-2.997514137249695,-4.859999999999673,-0.0,0.0793,0,-4.9392999999996725,
59,long,34007,2026-06-26 22:46:00,4067.56,4070.61,0.0,1.2143679138271721,15.0,0.01,34012,2026-06-26 22:51:00,4070.61,SL,5,False,True,3.050000000000182,2.511594686644739,3.050000000000182,-0.0,0.0793,0,2.970700000000182,
60,long,34026,2026-06-26 23:05:00,4071.73,4067.75,0.0,1.3265065109006988,23.0,0.01,34028,2026-06-26 23:07:00,4067.75,SL,2,False,False,-3.980000000000018,-3.0003622050053833,-3.980000000000018,-0.0,0.0793,0,-4.059300000000018,
61,long,34054,2026-06-26 23:33:00,4068.5,4075.12,0.0,1.4913415570136999,37.0,0.01,34071,2026-06-26 23:50:00,4075.12,SL,17,False,True,6.619999999999891,4.438956300028242,6.619999999999891,-0.0,0.0793,0,6.540699999999891,
62,short,35208,2026-06-29 19:47:00,4021.97,4026.0,0.0,1.3448637701750532,15.0,0.01,35210,2026-06-29 19:49:00,4026.0,SL,2,False,False,-4.0300000000002,-2.9965860404400946,-4.0300000000002,0.0,0.0793,0,-4.1093000000002,
63,short,35227,2026-06-29 20:06:00,4028.15,4024.22,0.0,1.5512589192432606,15.0,0.01,35248,2026-06-29 20:27:00,4024.22,SL,21,False,True,3.930000000000291,2.533426207094709,3.930000000000291,0.0,0.0793,0,3.850700000000291,
