Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
129,Exit long,2025-06-30 20:17,TSL,3307.85,2,6614.84,124.38,0.01,0,549.57,0.06,-75.2,-0.01,-1177.09,-0.12,5
129,Entry long,2025-06-30 20:12,M1 scalp up,3307.42,2,6614.84,124.38,0.01,0,549.57,0.06,-75.2,-0.01,-1177.09,-0.12,5
130,Exit long,2025-06-30 20:34,SL,3305.12,2,6614.88,-671.05,-0.07,0,399.16,0.04,-671.05,-0.07,-1848.14,-0.18,14
130,Entry long,2025-06-30 20:20,M1 scalp up,3307.44,2,6614.88,-671.05,-0.07,0,399.16,0.04,-671.05,-0.07,-1848.14,-0.18,14
131,Exit long,2025-06-30 22:20,TSL,3305.5,2,6607.18,549.98,0.06,0,693.96,0.07,-430.98,-0.05,-1298.16,-0.13,37
131,Entry long,2025-06-30 20:43,M1 scalp up,3303.59,2,6607.18,549.98,0.06,0,693.96,0.07,-430.98,-0.05,-1298.16,-0.13,37
132,Exit long,2025-07-01 13:37,TSL,3349.31,1,3346.95,339.78,0.07,0,483.76,0.10,-179.97,-0.04,-958.38,-0.10,4
132,Entry long,2025-07-01 13:33,M1 scalp up,3346.95,1,3346.95,339.78,0.07,0,483.76,0.10,-179.97,-0.04,-958.38,-0.10,4
133,Exit long,2025-07-01 13:50,TSL,3348.88,1,3346.8,299.47,0.06,0,508.23,0.11,-332.58,-0.07,-658.91,-0.07,10
133,Entry long,2025-07-01 13:40,M1 scalp up,3346.8,1,3346.8,299.47,0.06,0,508.23,0.11,-332.58,-0.07,-658.91,-0.07,10
134,Exit long,2025-07-01 14:46,SL,3345.72,1,3349.84,-593.18,-0.12,0,247.64,0.05,-593.18,-0.12,-1252.09,-0.13,9
134,Entry long,2025-07-01 14:37,M1 scalp up,3349.84,1,3349.84,-593.18,-0.12,0,247.64,0.05,-593.18,-0.12,-1252.09,-0.13,9
135,Exit long,2025-07-01 15:15,SL,3342.17,1,3346.58,-634.93,-0.13,0,106.54,0.02,-634.93,-0.13,-1887.02,-0.19,27
135,Entry long,2025-07-01 14:48,M1 scalp up,3346.58,1,3346.58,-634.93,-0.13,0,106.54,0.02,-634.93,-0.13,-1887.02,-0.19,27
136,Exit long,2025-07-01 22:40,TSL,3342.77,1,3340.76,288.23,0.06,0,437.36,0.09,-587.92,-0.12,-1598.79,-0.16,373
136,Entry long,2025-07-01 15:27,M1 scalp up,3340.76,1,3340.76,288.23,0.06,0,437.36,0.09,-587.92,-0.12,-1598.79,-0.16,373
137,Exit long,2025-07-02 13:47,SL,3337.61,1,3341.97,-625.21,-0.13,0,367.09,0.08,-625.21,-0.13,-2224,-0.22,10
137,Entry long,2025-07-02 13:37,M1 scalp up,3341.97,1,3341.97,-625.21,-0.13,0,367.09,0.08,-625.21,-0.13,-2224,-0.22,10
138,Exit long,2025-07-02 14:28,TSL,3338.35,1,3336.43,275.32,0.06,0,440.23,0.09,-371.4,-0.08,-1948.68,-0.19,33
138,Entry long,2025-07-02 13:55,M1 scalp up,3336.43,1,3336.43,275.32,0.06,0,440.23,0.09,-371.4,-0.08,-1948.68,-0.19,33
