campaign_id,start,end,close_reason,direction,bars,days,sleeves,n_sleeves,trades,max_gross_exposure_lots,max_net_exposure_lots,gross_pnl,spread_slip,commission,swap,lot_nights,net_pnl,risk_cash,gross_R,net_R,mae_usd,mfe_usd,mae_R,mfe_R
13,2022-11-03 08:00:00,2022-11-04 04:00:00,flat,short,6,0.8333333333333334,fast,1,1,0.02,0.02,-47.53701725333849,0.09999999999990905,0.0785,0.47159999999999996,0.02,-47.243917253338395,47.53701725333837,-1.0000000000000024,-0.9938342786961588,-45.72689999999966,9.421500000000378,-0.9619219429840943,0.19819291458255592
14,2022-11-08 16:00:00,2022-11-21 12:00:00,reversal,long,54,12.833333333333334,"fast,medium,slow",3,4,0.06,0.06,193.58000000000084,2.0999999999994543,0.47100000000000003,-46.111999999999995,0.6400000000000001,144.89700000000138,202.94522521272222,0.9538534340834824,0.7139709734393794,-63.751500000000306,367.6365000000005,-0.31413155906071477,1.8115060337815434
15,2022-11-21 16:00:00,2022-11-24 00:00:00,flat,short,15,2.3333333333333335,fast,1,0,0.02,0.02,0.0,0.09999999999990905,0.0785,1.3099999999999998,0.08,1.1315000000000908,0.0,,,-35.740499999999884,1.9478999999992084,,
16,2022-11-30 20:00:00,2023-01-31 08:00:00,flat,long,250,61.5,"fast,medium,slow",3,5,0.06,0.06,151.11997599386086,3.5199999999990723,0.7065,-96.41600000000001,1.44,50.47747599386177,224.24517274329156,0.6739051465195106,0.2250994988045817,-182.03349999999955,144.5789999999979,-0.8117610638976183,0.6447362867672837
17,2023-02-01 20:00:00,2023-02-02 16:00:00,flat,long,6,0.8333333333333334,"fast,medium,slow",3,3,0.06,0.06,-156.9269376885477,1.9799999999995634,0.2355,0.0,0.0,-159.14243768854726,156.92693768854707,-1.000000000000004,-1.0141180350080958,-234.83550000000105,31.144499999998516,-1.4964639179162416,0.19846497012393763
18,2023-02-03 12:00:00,2023-02-09 08:00:00,reversal,short,24,5.833333333333333,"fast,medium",2,2,0.04,0.04,-3.9400000000000546,0.7999999999997272,0.2355,7.073999999999999,0.22,2.098500000000217,116.57161069982516,-0.0337989668011507,0.01800181010970079,0.0,92.92299999999886,0.0,0.7971323330109759
19,2023-02-09 12:00:00,2023-02-09 16:00:00,flat,long,2,0.16666666666666666,fast,1,1,0.02,0.02,-50.657581699182174,1.199999999999818,0.157,0.47159999999999996,0.02,-51.542981699181986,50.65758169918201,-1.0000000000000033,-1.0174781339791883,-43.71700000000237,0.0,-0.862990267865635,0.0
20,2023-02-09 20:00:00,2023-03-03 04:00:00,reversal,short,93,21.333333333333332,"fast,medium,slow",3,3,0.06,0.06,88.05999999999995,0.8999999999996362,0.314,33.483599999999996,1.1000000000000003,120.32960000000031,156.02871916841013,0.5643832780871071,0.7712016136601246,-43.325899999998,305.44570000000203,-0.27767900826792047,1.957624863088943
21,2023-03-03 08:00:00,2023-03-07 12:00:00,flat,long,14,4.166666666666667,fast,1,1,0.03,0.03,-31.019999999999754,2.0999999999996817,0.27475,-5.344799999999999,0.16,-38.73954999999943,52.8333732004953,-0.5871288945016471,-0.7332401407153813,-39.62274999999681,29.245249999999942,-0.7499568473440829,0.553537437199368
22,2023-03-07 16:00:00,2023-03-09 12:00:00,flat,short,12,1.8333333333333333,fast,1,1,0.03,0.03,-24.389999999999645,0.29999999999972715,0.2355,1.2576,0.09,-23.66789999999937,56.645821607678414,-0.43057015165075385,-0.417822521207657,-21.708149999998568,16.691850000001068,-0.3832259711995421,0.29467045452366547
