campaign_id,start,end,close_reason,direction,bars,days,sleeves,n_sleeves,trades,max_gross_exposure_lots,max_net_exposure_lots,gross_pnl,spread_slip,commission,swap,lot_nights,net_pnl,risk_cash,gross_R,net_R,mae_usd,mfe_usd,mae_R,mfe_R
18,2023-02-03 12:00:00,2023-02-09 08:00:00,reversal,short,24,5.833333333333333,"fast,medium",2,2,0.06,0.06,-5.910000000000082,1.1999999999995907,0.35324999999999995,10.610999999999999,0.32999999999999996,3.1477500000003262,174.85741604973774,-0.0337989668011507,0.01800181010970079,0.0,139.38450000000012,0.0,0.7971323330109863
19,2023-02-09 12:00:00,2023-02-09 16:00:00,flat,long,2,0.16666666666666666,fast,1,1,0.03,0.03,-63.29999999999972,1.7999999999997272,0.2355,0.7073999999999999,0.03,-64.62809999999945,75.98637254877302,-0.8330441087889758,-0.850522242768161,-65.57550000002084,0.0,-0.8629902678658624,0.0
20,2023-02-09 20:00:00,2023-03-03 04:00:00,reversal,short,93,21.333333333333332,"fast,medium,slow",3,3,0.09,0.09,132.08999999999992,1.4999999999993179,0.58875,50.22539999999999,1.6500000000000004,180.22665000000057,234.04307875261523,0.564383278087107,0.7700575935018403,-64.98884999999427,458.16855000000214,-0.2776790082679088,1.957624863088939
21,2023-03-03 08:00:00,2023-03-07 12:00:00,flat,long,14,4.166666666666667,fast,1,1,0.05,0.05,-51.69999999999959,3.2999999999994998,0.43175,-9.0652,0.26,-64.49694999999909,88.05562200082552,-0.587128894501647,-0.7324569236407691,-65.81174999999348,48.968250000005355,-0.7473883950235056,0.5561058895199932
22,2023-03-07 16:00:00,2023-03-09 12:00:00,flat,short,12,1.8333333333333333,fast,1,1,0.05,0.05,-40.64999999999941,0.49999999999954525,0.3925,2.096,0.15000000000000002,-39.44649999999895,94.40970267946403,-0.43057015165075385,-0.41782252120765695,-36.18024999999034,27.819750000009662,-0.383225971199465,0.2946704545237489
23,2023-03-13 00:00:00,2023-04-19 04:00:00,reversal,long,158,37.166666666666664,"fast,medium,slow",3,10,0.12,0.12,516.6999999999996,10.449999999997317,2.31575,-210.12400000000002,3.1499999999999995,293.81025000000227,872.8638309456223,0.5919594576856616,0.33660490855910613,0.0,1351.5209999999934,0.0,1.5483755335993414
24,2023-04-19 08:00:00,2023-05-01 12:00:00,flat,short,50,12.166666666666666,"fast,medium",2,1,0.06,0.06,-80.36999999999989,1.2499999999995453,0.39249999999999996,9.039,0.40000000000000013,-72.97349999999943,86.93592386927206,-0.9244739852406063,-0.8393940818956694,-159.86994999999297,0.0,-1.8389400248439738,0.0
25,2023-05-02 16:00:00,2023-05-11 12:00:00,reversal,long,42,8.833333333333334,"fast,medium,slow",3,3,0.09,0.09,-144.75000000000068,3.0900000000006003,0.5887499999999999,-29.867999999999995,0.39,-178.29675000000128,265.81405053892274,-0.5445536069539152,-0.6707574322670862,-181.3252499999944,221.0685000000085,-0.6821507351938991,0.8316659693187956
26,2023-05-11 16:00:00,2023-07-11 04:00:00,reversal,short,256,60.5,"fast,medium,slow",3,12,0.14,0.14,-131.35999999999967,13.799999999994727,3.9642500000000003,109.96140000000001,3.8200000000000003,-39.16284999999438,1102.2127549733314,-0.11917844300683855,-0.03553111667714456,-11.56590000000142,529.2279500000004,-0.01049334617823513,0.480150449731282
27,2023-07-11 08:00:00,2023-07-27 12:00:00,reversal,long,74,16.166666666666668,"fast,medium,slow",3,5,0.15000000000000002,0.15,-61.60000000000083,9.999999999997499,1.9232500000000001,-103.85679999999999,1.54,-177.38004999999833,453.05679295796676,-0.1359652938825175,-0.391518354336771,-98.22324999999546,374.2317500000063,-0.2168011859146946,0.8260150952746588
28,2023-07-27 16:00:00,2023-07-31 12:00:00,flat,short,12,3.8333333333333335,"fast,medium",2,2,0.08,0.08,-170.2400000000016,0.6499999999994088,0.51025,4.925599999999999,0.37000000000000005,-166.47465000000102,171.44146992605408,-0.9929919527254946,-0.9710290635737354,-163.85464999999385,0.0,-0.9557468800907238,0.0
29,2023-08-02 16:00:00,2023-08-23 12:00:00,reversal,short,90,20.833333333333332,"fast,medium,slow",3,3,0.13,0.13,201.35000000000036,1.9299999999991542,0.66725,68.38199999999999,2.3,267.1347500000012,248.60402296379806,0.8099225330288445,1.0745391277875724,-60.161999999996624,573.1729500000074,-0.24199930187275154,2.305565868028907
30,2023-08-23 16:00:00,2023-08-25 16:00:00,flat,long,13,2.0,"fast,medium",2,2,0.11,0.11,-114.38999999999783,6.399999999998727,0.7849999999999999,-2.017400000000001,0.25,-123.59239999999654,179.06787660331608,-0.6388080440212217,-0.6901986126399836,-129.958999999988,0.0,-0.7257527283236984,0.0
31,2023-08-29 16:00:00,2023-09-05 04:00:00,reversal,long,28,6.5,"fast,medium,slow",3,3,0.17,0.17,-86.99000000000139,5.869999999998527,1.13825,-36.68,0.5,-130.6782499999999,267.20121456319714,-0.3255598974061809,-0.489063083839735,-108.67825000001176,106.40750000000116,-0.40672812875372505,0.3982298515145191
32,2023-09-05 08:00:00,2023-09-15 16:00:00,flat,short,51,10.333333333333334,"fast,medium",2,2,0.14,0.14,10.98999999999954,3.1199999999987544,1.0205000000000002,28.741400000000006,0.9600000000000001,35.590900000000794,184.83509969103466,0.0594584038333094,0.19255487761520176,-3.8009999999922,265.69445000000997,-0.020564275975428092,1.437467507222046
33,2023-09-18 16:00:00,2023-09-21 08:00:00,flat,long,17,2.6666666666666665,"fast,medium",2,2,0.13,0.13,-126.01000000000067,4.329999999999018,0.7457499999999999,-30.392,0.32,-161.47774999999967,173.3994099024776,-0.726703741788225,-0.9312474021152503,-161.47774999999092,141.62975000000733,-0.9312474021151999,0.8167833447626033
