date,equity
2022-08-28,99190.35750000001
2022-08-29,99162.3723
2022-08-30,99265.3167
2022-08-31,99368.4315
2022-09-01,99442.82595000001
2022-09-02,99317.27595000001
2022-09-04,99350.82255
2022-09-05,99217.58475
2022-09-06,99213.9915
2022-09-07,99156.26115
2022-09-08,99162.96855
2022-09-09,99154.26855
2022-09-11,99155.19075000001
2022-09-12,99154.083
2022-09-13,99154.083
2022-09-14,99154.083
2022-09-15,99154.083
2022-09-16,99154.083
2022-09-18,99154.083
2022-09-19,99154.083
2022-09-20,99154.083
2022-09-21,99154.083
2022-09-22,99154.083
2022-09-23,99154.083
2022-09-25,99154.083
2022-09-26,99137.4423
2022-09-27,99165.2667
2022-09-28,99004.74150000002
2022-09-29,98941.47630000001
2022-09-30,98939.2608
2022-10-02,98939.2608
2022-10-03,98939.2608
2022-10-04,98939.2608
2022-10-05,98939.2608
2022-10-06,98939.2608
2022-10-07,98939.2608
2022-10-09,98939.2608
2022-10-10,98939.2608
2022-10-11,98939.2608
2022-10-12,98939.2608
2022-10-13,98939.2608
2022-10-14,98939.2608
2022-10-16,98939.2608
2022-10-17,98939.2608
2022-10-18,98939.2608
2022-10-19,98939.2608
2022-10-20,98939.2608
2022-10-21,98758.7298
2022-10-23,98758.7298
2022-10-24,98758.7298
2022-10-25,98758.7298
2022-10-26,98738.89005000002
2022-10-27,98721.38805000001
2022-10-28,98687.1303
2022-10-30,98687.1303
2022-10-31,98687.1303
2022-11-01,98687.1303
2022-11-02,98687.1303
2022-11-03,98648.59650000001
2022-11-04,98614.13175
2022-11-06,98581.84575000001
2022-11-07,98583.96375
2022-11-08,98620.31025000001
2022-11-09,98613.52425
2022-11-10,98974.83825
2022-11-11,99192.27825
2022-11-13,99097.85025
2022-11-14,99151.81425
2022-11-15,99184.82625
2022-11-16,99138.53025
2022-11-17,99073.4685
2022-11-18,99003.39375
2022-11-20,99008.68115
2022-11-21,98990.98660000002
2022-11-22,99007.17620000002
2022-11-23,98946.9194
2022-11-24,98945.7624
2022-11-25,98945.7624
2022-11-27,98945.7624
2022-11-28,98945.7624
2022-11-29,98945.7624
2022-11-30,98994.9364
2022-12-01,99197.97140000001
2022-12-02,99194.49140000001
2022-12-04,99281.46740000001
2022-12-05,98874.87840000002
2022-12-06,98853.74240000002
2022-12-07,98920.03040000002
2022-12-08,99010.9584
2022-12-09,99032.64140000001
2022-12-11,98934.45740000001
2022-12-12,98847.1484
2022-12-13,99037.56740000001
2022-12-14,98883.67940000002
2022-12-15,98628.13040000002
2022-12-16,98753.25040000002
2022-12-18,98748.59440000002
2022-12-19,98684.48240000001
2022-12-20,98897.42140000002
2022-12-21,98927.25340000002
2022-12-22,98679.98440000002
2022-12-23,98705.74440000003
2022-12-26,98739.61640000003
2022-12-27,98794.72040000002
2022-12-28,98738.76840000002
2022-12-29,98823.29640000002
2022-12-30,98873.21640000002
2023-01-02,98893.40840000001
2023-01-03,99015.74740000001
2023-01-04,99183.69940000001
2023-01-05,98894.51040000001
2023-01-06,99138.99040000001
2023-01-08,99194.57440000001
2023-01-09,99187.99265000001
2023-01-10,99155.30065000002
2023-01-11,99232.25665000002
2023-01-12,99427.13265000003
2023-01-13,99662.64265000002
2023-01-15,99689.46065000002
2023-01-16,99561.15665000003
2023-01-17,99496.45465000003
2023-01-18,99404.98490000002
2023-01-19,99635.53315000003
2023-01-20,99573.38315000002
2023-01-22,99626.93115000002
2023-01-23,99657.57715000001
2023-01-24,99657.44515000003
2023-01-25,99742.21115000002
2023-01-26,99566.27715000002
2023-01-27,99543.83715000002
2023-01-29,99522.91515000002
2023-01-30,99489.10115000003
2023-01-31,99148.63540000003
2023-02-01,99158.23615000003
2023-02-02,98790.86290000002
2023-02-03,98920.46740000002
2023-02-05,98878.51180000002
2023-02-06,98875.48660000002
2023-02-07,98864.85100000004
2023-02-08,98831.87065000003
2023-02-09,98727.61705000003
2023-02-10,98717.05705000003
2023-02-12,98732.04925000004
2023-02-13,98717.94595000004
2023-02-14,98703.07255000003
2023-02-15,98863.32475000003
2023-02-16,98977.22695000003
2023-02-17,98857.07695000002
2023-02-19,98880.72355000004
2023-02-20,98865.74575000003
2023-02-21,98926.38235000003
2023-02-22,99005.18455000002
2023-02-23,99022.33675000003
2023-02-24,99157.78675000003
2023-02-26,99138.59335000002
2023-02-27,99110.29555000002
2023-02-28,99006.15220000003
2023-03-01,98983.74700000003
2023-03-02,98951.26180000002
2023-03-03,98957.87005000003
2023-03-05,98931.51005000003
2023-03-06,98904.94005000003
2023-03-07,98869.23455000004
2023-03-08,98870.36355000004
2023-03-09,98804.46730000003
2023-03-10,98830.39330000004
2023-03-12,98859.33730000004
2023-03-13,99248.57230000003
2023-03-14,99201.62830000003
2023-03-15,99284.02030000003
2023-03-16,99418.01230000003
2023-03-17,100213.73230000003
2023-03-19,99961.70830000004
2023-03-20,100080.70030000004
2023-03-21,99670.00730000004
2023-03-22,99866.77530000002
2023-03-23,100035.94330000003
2023-03-24,99936.42330000004
2023-03-26,99886.80730000003
2023-03-27,99768.37530000004
2023-03-28,99844.51930000004
2023-03-29,99767.84730000004
2023-03-30,99896.89555000004
2023-03-31,99780.62555000004
2023-04-02,99688.86355000004
2023-04-03,99618.68730000003
2023-04-04,99739.79180000004
2023-04-05,99709.85180000003
2023-04-06,99616.45180000002
2023-04-09,99499.99180000003
2023-04-10,99477.20030000003
2023-04-11,99520.27230000003
2023-04-12,99552.18655000003
2023-04-13,99704.91880000003
2023-04-14,99299.18330000002
2023-04-16,99284.33530000002
2023-04-17,99244.85355000001
2023-04-18,99255.54155000002
2023-04-19,99135.42160000003
2023-04-20,99074.75125000003
2023-04-21,99139.19125000002
2023-04-23,99138.79345000004
2023-04-24,99100.65085000003
2023-04-25,99099.68305000004
2023-04-26,99119.41045000004
2023-04-27,99137.03785000004
2023-04-28,99124.49785000003
2023-04-30,99145.10005000004
2023-05-01,99083.60230000003
2023-05-02,99079.57480000003
2023-05-03,99304.67080000004
2023-05-04,99249.49705000003
2023-05-05,98921.30155000003
2023-05-07,98920.12555000003
2023-05-08,98924.88355000003
2023-05-09,98969.39755000002
2023-05-10,98963.98555000003
2023-05-11,98904.96745000003
2023-05-12,98920.35745000002
2023-05-14,98918.66965000003
2023-05-15,98908.36705000003
2023-05-16,98969.64370000003
2023-05-17,99022.41850000003
2023-05-18,99216.89950000003
2023-05-19,99015.59950000003
2023-05-21,98990.77350000002
2023-05-22,99129.83150000003
2023-05-23,99059.80550000002
2023-05-24,99217.96350000003
2023-05-25,99406.12150000002
2023-05-26,99350.12150000002
2023-05-28,99406.19550000003
2023-05-29,99397.15350000003
2023-05-30,99241.47755000004
2023-05-31,99198.74815000003
2023-06-01,99108.87340000003
2023-06-02,99125.95640000004
